car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
2,2,11,1,125463,31437,33181,540,20269,34186,28891,156900
2,2,12,0,134522,31687,17300,127,20213,34834,53374,166209
2,2,12,1,130769,31495,13638,127,20226,34917,53345,162264
3,0,1,0,123755,31445,12565,68,20218,38093,44118,155200
3,0,1,1,145888,31474,13579,68,20211,37794,44119,177362
3,0,2,0,125121,31472,15550,118,20222,37534,43034,156593
3,0,2,1,126361,31473,16673,118,20211,37509,43042,157834
3,0,3,0,102487,31448,14056,95,20233,36787,22512,133935
3,0,3,1,103905,31425,14072,95,20229,37919,22685,135330
3,0,4,0,128290,31471,12481,46,20193,40910,45803,159761
3,0,4,1,128218,31495,12484,46,20204,40924,45815,159713
3,0,5,0,136391,31450,24980,312,20244,37977,44341,167841
3,0,5,1,137254,31462,25034,312,20620,38340,44334,168716
3,0,6,0,126992,31444,15611,138,20233,37866,44383,158436
3,0,6,1,149527,31507,16659,138,20235,37883,44375,181034
3,0,7,0,107211,31435,13029,68,20220,41647,23326,138646
3,0,7,1,106740,31421,13056,68,20210,41207,23212,138161
3,0,8,0,141350,31484,15450,111,20212,44733,51862,172834
3,0,8,1,141330,31469,14396,111,20237,44966,52984,172799
3,0,9,0,134584,31457,13973,95,20231,42385,49157,166041
3,0,9,1,134272,31467,13981,95,20223,42256,48889,165739
3,0,10,0,138944,31499,12003,42,20234,45547,52244,170443
3,0,10,1,137548,31478,11990,42,20233,45006,51528,169026
3,0,11,0,122023,31424,23826,370,20227,45323,23660,153447
3,0,11,1,122070,31465,23887,370,20245,45312,23669,153535
3,0,12,0,155330,31451,17937,194,20461,39977,46242,186781
3,0,12,1,132729,31467,16873,194,20254,39840,46768,164196
3,1,1,0,141115,31485,18150,196,20220,44060,49800,172600
3,1,1,1,141068,31457,18090,196,20238,44078,49779,172525
3,1,2,0,118803,31465,18800,123,20231,33460,37333,150268
3,1,2,1,118047,31467,18779,123,20240,32888,37262,149514
3,1,3,0,108026,31452,13447,61,20227,42012,23328,139478
3,1,3,1,108156,31449,13464,61,20229,42025,23257,139605
3,1,4,0,141485,31444,12400,62,20227,46340,53409,172929
3,1,4,1,163612,31489,13447,62,20221,46021,53394,195101
3,1,5,0,145470,31470,20440,244,20223,45442,50398,176940
3,1,5,1,142976,31460,19335,244,20218,44307,50128,174436
3,1,6,0,118180,31511,18942,123,20223,32859,37208,149691
3,1,6,1,118514,31480,18901,123,20448,32990,37239,149994
3,1,7,0,107824,31473,13252,61,20236,42056,23255,139297
3,1,7,1,107863,31809,13228,61,20233,42014,23291,139672
3,1,8,0,141060,31473,12362,62,20204,46080,53361,172533
3,1,8,1,140966,31474,12346,62,20229,46064,53348,172440
3,1,9,0,142346,31498,18270,196,20227,44247,50650,173844
3,1,9,1,142156,31466,18264,196,20224,44525,50119,173622
3,1,10,0,140887,31477,19912,123,20210,32839,37274,172364
3,1,10,1,118172,31492,18885,123,20224,32927,37177,149664
3,1,11,0,108954,31687,14334,93,20231,42036,23339,140641
3,1,11,1,111844,31428,15482,93,20256,42287,24359,143272
3,1,12,0,149878,31447,14438,110,20245,49778,56356,181325
3,1,12,1,150454,31462,14390,110,20247,49955,56908,181916
3,2,1,0,141500,31480,15404,83,20221,44638,52598,172980
3,2,1,1,138312,31473,12055,83,20231,44600,52841,169785
3,2,2,0,156939,31462,26092,330,20252,46289,55535,188401
3,2,2,1,177164,31453,24590,330,20255,46290,55585,208617
3,2,3,0,113083,31470,18734,129,20213,41941,23456,144553
3,2,3,1,111711,31445,16021,129,20230,41889,24538,143156
3,2,4,0,149454,31937,14046,139,20217,48576,57852,181391
3,2,4,1,146623,31463,11226,139,20213,48596,57884,178086
3,2,5,0,132326,31469,14612,64,20210,41136,47850,163795
3,2,5,1,128800,31499,11094,64,20190,41103,47781,160299
3,2,6,0,141581,31468,30709,541,20455,37225,44518,173049
3,2,6,1,139312,31945,28861,541,20240,37111,44513,171257
3,2,7,0,108712,31439,20442,217,20234,36695,22557,140151
3,2,7,1,105701,31455,17505,217,20224,36625,22556,137156
3,2,8,0,159770,31470,14701,89,20208,38876,45889,191240
3,2,8,1,124603,31472,11757,89,20219,38874,45035,156075
3,2,9,0,117047,31453,15720,108,20203,33572,38923,148500
