car,track,frame,mode,draw,present,prepare,raster,blit,player,opponents,candidates,before,after,rows,total
2,0,3,1,99316,31495,17357,29592,9963,35065,28080,38,4256,1263,224,130811
2,0,4,0,122774,31463,23989,45335,14508,33103,50829,37,4144,4144,336,154237
2,0,4,1,119314,31473,23944,45372,11275,31875,48809,37,4144,1110,336,150787
2,0,5,0,122424,31468,24031,46249,12785,33556,50720,27,3024,3024,336,153892
2,0,5,1,118603,31468,24066,46107,10019,31620,48672,27,3024,839,336,150071
2,0,6,0,119621,31484,23943,45686,12603,32363,49963,27,3024,3024,336,151105
2,0,6,1,116748,31482,23966,45749,9762,31263,48309,27,3024,804,336,148230
2,0,7,0,96944,31431,17551,29090,7503,32495,28057,33,3696,3696,224,128375
2,0,7,1,95670,31472,17549,29123,6104,31549,27632,33,3696,687,224,127142
2,0,8,0,139709,31442,23845,45569,18673,35527,52651,49,5488,5488,336,171151
2,0,8,1,123315,31520,23857,45582,17017,35125,51427,49,5488,1689,336,154835
2,0,9,0,135772,31440,23885,46639,14354,33425,51552,31,3472,3472,336,167212
2,0,9,1,133844,31432,23879,46650,12226,32745,50103,31,3472,1105,336,165276
2,0,10,0,133657,31720,23907,47785,13590,33691,51687,25,2800,2800,336,165377
2,0,10,1,130982,31495,23977,47779,11025,32499,50381,25,2800,780,336,162477
2,0,11,0,106301,31461,17492,29905,7295,33353,27767,18,2016,2016,224,137762
2,0,11,1,106891,31449,17717,29977,6269,32854,28695,18,2016,543,224,138340
2,0,12,0,124169,31478,23950,48210,13018,33122,52157,23,2576,2576,336,155647
2,0,12,1,121830,31448,23956,48235,10815,32496,50604,23,2576,751,336,153278
2,0,13,0,140872,31436,24086,49204,13853,34153,53095,23,2576,2576,336,172308
2,0,13,1,122751,31462,23977,49098,12067,33518,51718,23,2576,867,336,154213
2,0,14,0,128260,31496,23892,50520,16359,36217,54669,28,3136,3136,336,159756
2,0,14,1,125113,31473,24028,50466,14212,35241,53558,28,3136,1067,336,156586
2,0,15,0,102646,31400,17712,33020,10205,38589,28804,22,2464,2464,224,134046
2,0,15,1,101145,31452,17635,32993,9066,37527,28565,22,2464,958,224,132597
2,0,16,0,135257,31472,24476,55749,17238,38596,58961,25,2800,2800,336,166729
2,0,16,1,135057,31461,24094,55803,16362,38494,58988,25,2800,1224,336,166518
2,0,17,0,131934,31455,23944,53622,16316,37294,56686,25,2800,2800,336,163389
2,0,17,1,130441,31459,23941,53634,14695,36531,55830,25,2800,1081,336,161900
2,0,18,0,131023,31496,24045,53063,16313,37154,56371,26,2912,2912,336,162519
2,0,18,1,129047,31456,23881,53604,14242,36138,55687,26,2912,1038,336,160503
2,0,19,0,103846,31486,17541,32665,9490,37419,28700,21,2352,2352,224,135332
2,0,19,1,117910,31453,17540,32681,8580,36761,28475,21,2352,809,224,149363
2,0,20,0,134062,31488,23934,55650,19045,39442,59279,27,3024,3024,336,165550
2,0,20,1,131359,31471,23954,55866,16229,38310,57836,27,3024,1280,336,162830
2,0,21,0,155557,31464,24048,53864,28592,44415,63366,97,10864,10864,336,187021
2,0,21,1,145030,31441,23930,54304,18737,38128,58937,97,10864,1634,336,176471
2,0,22,0,155929,31464,23891,50605,34234,43877,64943,115,12880,12880,336,187393
2,0,22,1,144132,31464,23933,50566,22585,38718,58462,115,12880,3080,336,175596
2,0,23,0,112532,31438,17528,31182,12817,39008,29042,54,6048,6048,224,143970
2,0,23,1,106702,31445,17534,30440,7489,33850,28045,54,6048,1563,224,138147
2,0,24,0,155299,31424,23934,48279,26826,38199,60934,82,9184,9184,336,186723
2,0,24,1,127712,31493,23916,48298,14223,34143,52388,82,9184,1205,336,159205
2,1,1,0,150383,31472,23795,57363,29125,39578,71910,36,4032,4032,336,181855
2,1,1,1,141852,31488,23781,57329,21287,38590,63911,36,4032,1689,336,173340
2,1,2,0,142053,31466,23758,52472,24145,42448,58018,75,8400,8400,336,173519
2,1,2,1,134820,31455,23764,52465,17099,37609,55809,75,8400,2332,336,166275
2,1,3,0,104367,31449,17782,29021,7913,32825,28422,29,3248,3248,224,135816
2,1,3,1,103035,31457,17668,28500,7129,32061,27713,29,3248,799,224,134492
2,1,4,0,129769,31460,24044,38377,9019,28212,43328,23,2576,2576,336,161229
2,1,4,1,113499,31505,24039,38379,7855,27713,42656,23,2576,803,336,145004
2,1,5,0,119860,31442,24175,45214,12707,32543,49655,18,2016,2016,336,151302
2,1,5,1,119538,31478,24112,45117,12600,32362,49559,18,2016,1016,336,151016
2,1,6,0,128353,31466,24641,52388,14268,35767,55629,18,2016,2016,336,159819
2,1,6,1,128466,31486,24129,52338,14016,35821,55863,18,2016,1091,336,159952
2,1,7,0,103400,31441,17618,34487,8453,38356,28893,12,1344,1344,224,134841
2,1,7,1,103550,31465,17618,34547,8455,38434,28809,12,1344,761,224,135015
2,1,8,0,135546,31472,24148,59253,16058,39384,60172,16,1792,1792,336,167018
2,1,8,1,134631,31941,24131,59031,15602,39426,59432,16,1792,1066,336,166572
2,1,9,0,166804,31439,24095,57332,29186,39447,71269,36,4032,4032,336,198243
2,1,9,1,143117,31439,24127,57308,21320,38547,64300,36,4032,1689,336,174556
2,1,10,0,144904,31480,24026,52494,24308,42689,58233,75,8400,8400,336,176384
2,1,10,1,137111,31447,24175,52523,17464,37964,56301,75,8400,2334,336,168558
2,1,11,0,104334,31434,17648,28517,7867,32650,27849,29,3248,3248,224,135768
2,1,11,1,104860,31447,18255,28863,7231,33149,27755,29,3248,799,224,136307
2,1,12,0,115373,31453,24276,38468,8947,28481,44452,23,2576,2576,336,146826
2,1,12,1,112652,31459,24037,38429,7855,27747,42669,23,2576,804,336,144111
2,1,13,0,119325,31471,24082,45054,12673,32341,49569,18,2016,2016,336,150796
2,1,13,1,119768,31439,24070,45085,12862,32391,49721,18,2016,1018,336,151207
2,1,14,0,127474,31495,24058,52376,14248,35791,54997,18,2016,2016,336,158969
2,1,14,1,127053,31486,24018,52461,13949,35790,54730,18,2016,1091,336,158539
2,1,15,0,104124,31480,17667,34468,8467,38385,28843,12,1344,1344,224,135604
2,1,15,1,119244,31446,17617,34493,8531,38440,28875,12,1344,761,224,150690
2,1,16,0,135153,31494,24085,59079,16031,39371,59919,16,1792,1792,336,166647
2,1,16,1,135344,31438,24252,59137,16028,39684,59839,16,1792,1066,336,166782
2,1,17,0,149643,31433,24082,57343,29010,39379,71187,36,4032,4032,336,181076
2,1,17,1,143103,31439,24067,57306,21251,38527,65310,36,4032,1689,336,174542
2,1,18,0,142763,31446,24036,52459,24407,42566,58428,75,8400,8400,336,174209
2,1,18,1,135296,31491,24020,52448,17179,37742,55999,75,8400,2332,336,166787
2,1,19,0,103714,31455,17607,28515,7808,32594,27841,29,3248,3248,224,135169
2,1,19,1,103096,31446,17672,28494,7076,32066,27661,29,3248,799,224,134542
2,1,20,0,113801,31470,24075,38375,8926,28176,43293,23,2576,2576,336,145271
2,1,20,1,128454,31428,24010,38419,7881,27765,42646,23,2576,804,336,159882
2,1,21,0,120213,31482,24237,45526,12685,32925,49623,18,2016,2016,336,151695
2,1,21,1,120604,31439,24094,45014,12607,32348,49463,18,2016,1018,336,152043
2,1,22,0,128711,31465,24077,52358,14327,35832,55020,18,2016,2016,336,160176
2,1,22,1,129707,31467,24251,52422,14029,36130,55798,18,2016,1091,336,161174
2,1,23,0,105141,31450,17754,34516,8536,38592,28870,12,1344,1344,224,136591
2,1,23,1,104887,31436,17664,34462,8558,38485,28775,12,1344,761,224,136323
2,1,24,0,156226,31471,24587,59446,34036,45639,72530,71,7952,7952,336,187697
2,1,24,1,142115,31483,24099,59072,21082,41888,62463,71,7952,1938,336,173598
3,0,1,0,123680,31463,23650,49124,13160,39537,46496,25,2800,2800,336,155143
3,0,1,1,121380,31513,23479,49069,10693,38272,45055,25,2800,763,336,152893
3,0,2,0,123016,31453,23546,49282,14314,39768,47460,43,4816,4816,336,154469
3,0,2,1,120905,31445,23678,49417,10925,38844,46432,43,4816,898,336,152350
3,0,3,0,101452,31445,17671,31283,11280,42302,23938,38,4256,4256,224,132897
3,0,3,1,100489,31445,17639,31219,10539,41642,23705,38,4256,1273,224,131934
3,0,4,0,124312,31435,23882,47438,13996,39457,45954,35,3920,3920,336,155747
3,0,4,1,121001,31487,23918,46971,11336,38018,44298,35,3920,1105,336,152488
3,0,5,0,122437,31451,23975,47312,12884,38665,45600,27,3024,3024,336,153888
3,0,5,1,119861,31454,23911,47321,10159,37533,43950,27,3024,839,336,151315
3,0,6,0,137218,31421,23946,47492,12425,38824,45140,26,2912,2912,336,168639
3,0,6,1,119416,31505,23918,47242,9966,37368,43847,26,2912,804,336,150921
3,0,7,0,98809,31414,17804,30610,7861,38685,23696,33,3696,3696,224,130223
3,0,7,1,97445,31479,17920,30561,6360,37636,23330,33,3696,687,224,128924
3,0,8,0,127032,31442,24101,47194,18673,42214,49011,47,5264,5264,336,158474
3,0,8,1,123915,31446,23900,47100,17133,41310,46919,47,5264,1615,336,155361
3,0,9,0,138387,31468,24533,48393,14559,40045,47542,31,3472,3472,336,169855
3,0,9,1,135635,31471,23900,48314,12347,39028,45633,31,3472,1112,336,167106
3,0,10,0,135544,31484,23948,49372,13845,40104,47157,25,2800,2800,336,167028
3,0,10,1,132734,31445,23891,49383,11176,38673,45881,25,2800,780,336,164179
3,0,11,0,124234,31452,17792,31391,7714,39594,23393,18,2016,2016,224,155686
3,0,11,1,107146,31448,17854,31384,6455,38570,23207,18,2016,543,224,138594
3,0,12,0,127830,31477,24187,49370,13538,39502,47702,23,2576,2576,336,159307
3,0,12,1,123217,31428,23950,49358,10878,38534,45745,23,2576,752,336,154645
3,0,13,0,125640,31446,23938,50278,13950,40118,48142,23,2576,2576,336,157086
3,0,13,1,125609,31444,24107,50277,12428,40951,47162,23,2576,867,336,157053
3,0,14,0,128997,31462,23965,51942,16677,42896,49785,28,3136,3136,336,160459
3,0,14,1,127394,31459,24024,52492,14562,42337,48847,28,3136,1075,336,158853
3,0,15,0,104621,31438,17911,34737,10837,45494,24152,22,2464,2464,224,136059
3,0,15,1,103474,31451,17954,34703,9665,44510,23954,22,2464,969,224,134925
3,0,16,0,137002,31466,24006,57699,17555,45824,53529,25,2800,2800,336,168468
3,0,16,1,136260,31459,24053,57977,16617,45515,53241,25,2800,1237,336,167719
3,0,17,0,135077,31511,23906,55445,16635,44250,51833,25,2800,2800,336,166588
3,0,17,1,149169,31439,24478,55488,15046,43385,51725,25,2800,1091,336,180608
3,0,18,0,133685,31464,23925,54598,16588,43864,52438,26,2912,2912,336,165149
3,0,18,1,130302,31455,23949,54611,14456,42842,50272,26,2912,1037,336,161757
3,0,19,0,105138,31962,17859,34429,10099,44345,24142,21,2352,2352,224,137100
3,0,19,1,104558,31450,17914,34483,9115,43645,23947,21,2352,819,224,136008
3,0,20,0,136524,31426,23935,57625,19440,46804,54288,27,3024,3024,336,167950
3,0,20,1,133553,31399,23966,57577,16684,45537,52784,27,3024,1280,336,164952
3,0,21,0,157231,31458,24041,55638,29386,51103,58067,101,11312,11312,336,188689
3,0,21,1,146735,31467,23897,55604,19167,45238,53519,101,11312,1655,336,178202
3,0,22,0,175257,31414,24463,52249,35079,52294,59615,115,12880,12880,336,206671
