car,track,frame,mode,draw,present,prepare,raster,blit,player,opponents,candidates,before,after,rows,total
0,1,21,0,115475,31470,23180,42778,11919,33091,44919,20,2240,2240,336,146945
0,1,21,1,114783,31452,23162,42489,11383,32535,44622,20,2240,1020,336,146235
0,1,22,0,124645,31459,23354,50112,12666,36355,49913,18,2016,2016,336,156104
0,1,22,1,122936,31466,23159,49557,12387,35681,49543,18,2016,1091,336,154402
0,1,23,0,100087,31441,16901,31671,7633,38002,24637,12,1344,1344,224,131528
0,1,23,1,101647,31472,17074,31806,7655,38327,25721,12,1344,761,224,133119
0,1,24,0,150471,31484,23137,56110,33144,46784,65734,75,8400,8400,336,181955
0,1,24,1,165786,31513,23124,56377,19749,42169,57238,75,8400,2034,336,197299
1,0,1,0,122777,31483,24441,49798,11550,33052,52850,24,2688,2688,336,154260
1,0,1,1,120146,31442,24287,49607,9263,32300,50960,24,2688,756,336,151588
1,0,2,0,123305,31453,24514,49418,12991,33971,53088,41,4592,4592,336,154758
1,0,2,1,119015,31461,24326,49374,9592,32542,50862,41,4592,879,336,150476
1,0,3,0,96461,31430,16119,27105,9971,36060,25347,38,4256,4256,224,127891
1,0,3,1,97393,31484,16389,27190,9378,35989,26279,38,4256,1270,224,128877
1,0,4,0,123101,31452,24798,46747,12751,33521,50897,35,3920,3920,336,154553
1,0,4,1,120140,31885,24778,46556,10087,32264,49285,35,3920,1109,336,152025
1,0,5,0,121904,31467,24740,47190,11569,32841,50779,27,3024,3024,336,153371
1,0,5,1,147803,31450,24724,47251,8818,31804,49110,27,3024,833,336,179253
1,0,6,0,120248,31470,24726,47108,11096,32691,50358,26,2912,2912,336,151718
1,0,6,1,117661,31719,24703,47141,8592,31588,48967,26,2912,796,336,149380
1,0,7,0,94905,31449,16453,26585,6647,32882,25216,33,3696,3696,224,126354
1,0,7,1,93165,31440,16440,26624,5274,31942,24760,33,3696,687,224,124605
1,0,8,0,125419,31455,24742,46845,18036,36019,53720,47,5264,5264,336,156874
1,0,8,1,125165,31468,24893,46938,16443,35837,53695,47,5264,1613,336,156633
1,0,9,0,137278,31465,24936,47867,13556,34382,52099,33,3696,3696,336,168743
1,0,9,1,134301,31430,24656,47836,10711,32987,50334,33,3696,1105,336,165731
1,0,10,0,135790,31470,25359,49402,12373,34152,53116,25,2800,2800,336,167260
1,0,10,1,160666,31467,24720,49420,9662,32786,51143,25,2800,780,336,192133
1,0,11,0,103510,31447,16424,27234,6338,33571,24843,18,2016,2016,224,134957
1,0,11,1,102612,31447,16449,27257,5227,32673,24661,18,2016,537,224,134059
1,0,12,0,125807,31457,24859,49905,11871,33432,53343,23,2576,2576,336,157264
1,0,12,1,123765,31441,24808,50518,9563,33238,51785,23,2576,745,336,155206
1,0,13,0,127002,31472,24811,50863,12751,35175,54547,23,2576,2576,336,158474
1,0,13,1,124151,31439,24751,50860,10993,33736,52990,23,2576,861,336,155590
1,0,14,0,128584,31468,24797,52420,15059,36243,56158,27,3024,3024,336,160052
1,0,14,1,126947,31493,24805,52718,13205,35735,55120,27,3024,1068,336,158440
1,0,15,0,99276,31440,16446,30118,9381,38686,25689,22,2464,2464,224,130716
1,0,15,1,98903,31398,16541,30105,8703,38270,25557,22,2464,958,224,130301
1,0,16,0,165501,31435,24805,58169,16044,38836,60307,25,2800,2800,336,196936
1,0,16,1,135710,31463,24865,58168,15035,38344,59849,25,2800,1224,336,167173
1,0,17,0,134250,31469,24738,56349,15117,37446,58880,25,2800,2800,336,165719
1,0,17,1,132600,31425,24772,55906,13721,36905,57616,25,2800,1081,336,164025
1,0,18,0,132256,31459,24744,55035,15185,37124,57954,26,2912,2912,336,163715
1,0,18,1,131238,31452,24686,55116,12979,36175,57840,26,2912,1027,336,162690
1,0,19,0,99849,31631,16426,29753,8647,37598,25644,21,2352,2352,224,131480
1,0,19,1,99062,31429,16490,29747,7799,36956,25467,21,2352,809,224,130491
1,0,20,0,136128,31974,24814,57927,17936,39681,61121,27,3024,3024,336,168102
1,0,20,1,133136,31461,24797,57929,15072,38521,59405,27,3024,1280,336,164597
1,0,21,0,155919,31505,24695,56230,27062,43617,64492,97,10864,10864,336,187424
1,0,21,1,174997,31464,24674,56200,17187,38372,59813,97,10864,1634,336,206461
1,0,22,0,157903,31435,24993,52553,33154,44409,66424,115,12880,12880,336,189338
1,0,22,1,146452,31444,25117,52858,21413,39597,59919,115,12880,3079,336,177896
