car,frame,mode,percent,draw,present,total,phase
7,6,0,100,119329,31551,150880,transition
7,6,1,100,116789,23300,140089,transition
7,6,2,85,109020,23299,132319,transition
7,7,0,100,109907,31557,141464,transition
7,7,1,100,107688,23309,130997,transition
7,7,2,85,101174,23291,124465,transition
7,8,0,100,110953,31546,142499,transition
7,8,1,100,108211,23832,132043,transition
7,8,2,85,101609,23318,124927,transition
7,9,0,100,151663,31616,183279,transition
7,9,1,100,145674,23330,169004,transition
7,9,2,85,130575,23297,153872,transition
7,10,0,100,166829,31562,198391,native
7,10,1,100,164792,23288,188080,native
7,10,2,100,164919,23329,188248,native
7,11,0,100,166721,31562,198283,transition
7,11,1,100,164376,23357,187733,transition
7,11,2,85,145432,23316,168748,transition
7,12,0,100,134879,31588,166467,transition
7,12,1,100,135488,23368,158856,transition
7,12,2,85,119764,23337,143101,transition
7,13,0,100,115189,31572,146761,transition
7,13,1,100,112958,23304,136262,transition
7,13,2,85,105457,23355,128812,transition
7,14,0,100,115485,31592,147077,transition
7,14,1,100,113090,23303,136393,transition
7,14,2,85,105956,23303,129259,transition
7,15,0,100,123004,31544,154548,native
7,15,1,100,120699,23340,144039,native
7,15,2,100,121057,23338,144395,native
7,16,0,100,122805,31572,154377,native
7,16,1,100,120554,23313,143867,native
7,16,2,100,124083,23322,147405,native
7,17,0,100,122776,31593,154369,native
7,17,1,100,120973,23321,144294,native
7,17,2,100,120812,23333,144145,native
7,18,0,100,122929,31547,154476,native
7,18,1,100,120338,23310,143648,native
7,18,2,100,120411,23284,143695,native
7,19,0,100,122922,31581,154503,native
7,19,1,100,120837,23316,144153,native
7,19,2,100,120371,23301,143672,native
