car,track,frame,mode,draw,present,upscale,player,opponents,total
3,1,11,1,110024,31468,20229,42484,23628,141492
3,1,12,0,145267,31485,14327,50129,57216,176752
3,1,12,1,151351,31484,20243,50599,57015,182835
4,0,1,0,118000,31467,14295,32898,49486,149467
4,0,1,1,123968,31454,20215,32981,49429,155422
4,0,2,0,119592,31697,14328,32608,48166,151289
4,0,2,1,125400,31483,20218,32632,48202,156883
4,0,3,0,94181,31474,14350,32000,24811,125655
4,0,3,1,100265,31466,20254,32089,24767,131731
4,0,4,0,122940,31483,14339,35939,51138,154423
4,0,4,1,128727,31500,20232,36005,51131,160227
4,0,5,0,131013,31429,14372,33177,49621,162442
4,0,5,1,136975,31464,20262,33130,49646,168439
4,0,6,0,122728,31509,14332,33451,50346,154237
4,0,6,1,128205,31947,20243,33209,50317,160152
4,0,7,0,97898,31466,14340,36023,25569,129364
4,0,7,1,103915,31461,20243,35997,25560,135376
4,0,8,0,135157,31492,14359,39167,58299,166649
4,0,8,1,142288,31458,20235,38971,59283,173746
4,0,9,0,129215,31449,14341,36891,55139,160664
4,0,9,1,135185,31467,20242,36886,55101,166652
4,0,10,0,132181,31492,14346,39121,57701,163673
4,0,10,1,138765,31470,20735,39376,57659,170235
4,0,11,0,141452,31475,14345,39553,25920,172927
4,0,11,1,118627,31467,20256,39557,25960,150094
4,0,12,0,127054,32136,14292,34879,52012,159190
4,0,12,1,134469,31446,20295,35147,53073,165915
4,1,1,0,135649,31480,14341,38435,55758,167129
4,1,1,1,141562,31473,20206,38426,55825,173035
4,1,2,0,112971,31484,14289,28583,42162,144455
4,1,2,1,119374,31491,20258,29120,42231,150865
4,1,3,0,99174,31469,14328,36631,25628,130643
4,1,3,1,105286,31473,20239,36647,25607,136759
4,1,4,0,136190,31489,14574,40263,59765,167679
4,1,4,1,142159,31498,20236,40182,60243,173657
4,1,5,0,137463,31470,14366,38629,56074,168933
4,1,5,1,143489,31510,20227,38648,56137,174999
4,1,6,0,113102,31870,14297,28596,42185,144972
4,1,6,1,120302,31440,20244,28585,43292,151742
4,1,7,0,98856,31480,14320,36620,25627,130336
4,1,7,1,104996,31456,20247,36673,25570,136452
4,1,8,0,135794,31505,14335,40214,59710,167299
4,1,8,1,141976,31473,20241,40242,59712,173449
4,1,9,0,136361,31455,14322,38604,56121,167816
4,1,9,1,142367,31481,20255,38607,56075,173848
4,1,10,0,113788,31472,14477,28779,42459,145260
4,1,10,1,120152,31484,20264,28781,43239,151636
4,1,11,0,100111,31700,14332,36667,25627,131811
4,1,11,1,106232,31471,20217,36683,25661,137703
4,1,12,0,144505,31500,14294,43878,62744,176005
4,1,12,1,149672,31507,20228,43429,62534,181179
5,0,1,0,120457,31467,14296,32570,52242,151924
5,0,1,1,126333,31470,20222,32649,52216,157803
5,0,2,0,122220,31503,14333,32388,51018,153723
5,0,2,1,128614,31490,20203,32530,51005,160104
5,0,3,0,97299,31483,14323,31614,28375,128782
5,0,3,1,103344,31476,20214,31636,28321,134820
5,0,4,0,125632,31483,14350,35950,53846,157115
5,0,4,1,161290,31468,20242,36229,54313,192758
5,0,5,0,133450,31506,14366,32838,52480,164956
5,0,5,1,139553,31434,20249,32837,52469,170987
5,0,6,0,125031,31472,14331,32598,53426,156503
5,0,6,1,130201,31500,20262,32626,52937,161701
5,0,7,0,100966,31427,14326,35489,29107,132393
5,0,7,1,106973,31459,20232,35528,29086,138432
5,0,8,0,137300,31485,14363,38759,60820,168785
5,0,8,1,182396,31440,20228,38852,61461,213836
5,0,9,0,131482,31452,14592,36425,57642,162934
5,0,9,1,137155,31488,20214,36354,57584,168643
5,0,10,0,134314,31471,14310,38970,60028,165785
5,0,10,1,140147,31483,20218,38989,60023,171630
5,0,11,0,115415,31460,14310,38789,29522,146875
5,0,11,1,121439,31681,20232,38825,29467,153120
5,0,12,0,168832,31442,14343,34139,55836,200274
5,0,12,1,134921,31449,20261,34109,54709,166370
5,1,1,0,137798,31473,14362,38254,58063,169271
5,1,1,1,143253,31486,20217,37918,58157,174739
5,1,2,0,115274,31498,14358,28136,44846,146772
5,1,2,1,150884,31489,20272,28358,45936,182373
5,1,3,0,102613,31455,14351,36276,29055,134068
5,1,3,1,108423,31467,20234,36323,29100,139890
5,1,4,0,137918,31482,14367,39982,61924,169400
5,1,4,1,143652,31463,20216,40016,61996,175115
5,1,5,0,139215,31479,14324,38188,58328,170694
5,1,5,1,145564,31469,20246,38169,58543,177033
5,1,6,0,116706,31498,14312,29313,45025,148204
5,1,6,1,149649,31486,20246,28207,44780,181135
5,1,7,0,102099,31490,14348,36250,29151,133589
5,1,7,1,108534,31451,20239,36392,29342,139985
5,1,8,0,137855,31476,14340,39983,61929,169331
5,1,8,1,143606,31475,20250,40001,61938,175081
5,1,9,0,139242,31506,14312,38831,58856,170748
5,1,9,1,144312,31496,20209,38117,58319,175808
5,1,10,0,115343,31491,14324,28144,44806,146834
5,1,10,1,149682,31513,20240,28198,44828,181195
5,1,11,0,103845,31495,14340,36312,29160,135340
5,1,11,1,109390,31463,20222,36330,29199,140853
5,1,12,0,145362,31457,14355,42465,64851,176819
5,1,12,1,151058,31494,20265,42516,64847,182552
6,0,1,0,122727,32020,14325,39160,47822,154747
6,0,1,1,129179,31490,20471,39324,47876,160669
6,0,2,0,124371,31467,14364,38749,46711,155838
6,0,2,1,130120,31484,20240,38821,46742,161604
6,0,3,0,99595,32035,14315,38222,24115,131630
6,0,3,1,105733,31458,20244,38237,24031,137191
6,0,4,0,129017,31449,14346,43317,49850,160466
6,0,4,1,133378,31463,20225,42199,49602,164841
6,0,5,0,137061,31463,14887,39648,48114,168524
6,0,5,1,141754,31467,20251,39393,48167,173221
6,0,6,0,127015,31472,14332,39481,48591,158487
6,0,6,1,132878,31475,20239,39555,48604,164353
6,0,7,0,103611,31450,14368,42367,24726,135061
6,0,7,1,109512,31471,20224,42373,24736,140983
6,0,8,0,140590,31442,14375,45687,57147,172032
6,0,8,1,144979,31474,20217,45533,56001,176453
6,0,9,0,133780,31501,14370,43356,53238,165281
6,0,9,1,140513,31482,20221,43946,53411,171995
6,0,10,0,136678,31494,14340,45688,55674,168172
6,0,10,1,142871,31490,20485,45768,55726,174361
6,0,11,0,118224,31466,14359,45871,25231,149690
6,0,11,1,124288,31475,20242,45915,25222,155763
6,0,12,0,131842,31699,14298,41287,50351,163541
6,0,12,1,166511,31479,20221,41339,50438,197990
6,1,1,0,140134,31467,14318,44904,53775,171601
6,1,1,1,147292,31495,20205,45592,54460,178787
6,1,2,0,117387,31461,14349,34445,40632,148848
6,1,2,1,123540,31471,20233,34551,40979,155011
6,1,3,0,104847,31448,14359,43031,24883,136295
6,1,3,1,110950,31471,20227,43076,24922,142421
6,1,4,0,140467,31479,14299,46802,57718,171946
6,1,4,1,146463,31470,20246,46808,57672,177933
6,1,5,0,141834,31484,14332,45086,54040,173318
6,1,5,1,147908,31483,20232,45119,54061,179391
6,1,6,0,117869,31480,14380,34528,40878,149349
6,1,6,1,123318,31498,20241,34473,40692,154816
6,1,7,0,104585,31480,14341,43054,24911,136065
6,1,7,1,110669,31459,20230,43081,24907,142128
6,1,8,0,140785,31485,14350,46891,57944,172270
6,1,8,1,146683,31506,20229,46825,58239,178189
6,1,9,0,142082,31479,14367,46147,54272,173561
6,1,9,1,146801,31511,20236,45062,54054,178312
6,1,10,0,118070,31462,14310,34498,40662,149532
6,1,10,1,123502,31463,20258,34518,40645,154965
6,1,11,0,105836,31465,14335,43091,24902,137301
6,1,11,1,111948,31454,20242,43147,24835,143402
6,1,12,0,148633,32010,14307,50055,60626,180643
6,1,12,1,154597,31461,20268,50083,60616,186058
7,0,1,0,144664,31501,14324,35483,45050,176165
7,0,1,1,122028,31455,20240,35519,44985,153483
7,0,2,0,118067,31475,14315,35165,44121,149542
7,0,2,1,124286,31509,20228,35215,44541,155795
7,0,3,0,95403,31469,14328,34527,23565,126872
7,0,3,1,101407,31474,20243,34496,23552,132881
7,0,4,0,121639,31472,14568,38675,46877,153111
7,0,4,1,127034,31939,20219,38605,46915,158973
7,0,5,0,157855,31514,14319,35731,45360,189369
7,0,5,1,135181,31485,20255,35681,45307,166666
7,0,6,0,120167,31482,14292,35691,45601,151649
7,0,6,1,127232,31497,20254,36312,45702,158729
7,0,7,0,99174,31420,14365,38577,24195,130594
7,0,7,1,105157,31488,20251,38581,24260,136645
7,0,8,0,131722,31471,14327,41464,52578,163193
7,0,8,1,138183,31481,20209,42014,52736,169664
7,0,9,0,155169,31502,14361,39472,49889,186671
7,0,9,1,132536,31492,20249,39418,49901,164028
7,0,10,0,129269,31943,14341,41672,52218,161212
7,0,10,1,135235,31488,20233,41712,52235,166723
7,0,11,0,115194,31706,14374,43305,24779,146900
7,0,11,1,119924,31456,20257,42127,24675,151380
7,0,12,0,125430,31442,14336,37346,47805,156872
7,0,12,1,130654,31496,20241,37385,47312,162150
7,1,1,0,132880,31492,14347,40933,50532,164372
7,1,1,1,138831,31449,20240,40964,50583,170280
7,1,2,0,111681,31453,14351,30963,38336,143134
7,1,2,1,118621,31489,20237,31630,38427,150110
7,1,3,0,100380,31460,14352,39101,24281,131840
7,1,3,1,106450,31482,20248,39147,24375,137932
7,1,4,0,161449,31500,14325,42760,54163,192949
7,1,4,1,139398,31488,20244,43301,54217,170886
7,1,5,0,134882,31471,14355,41153,50928,166353
7,1,5,1,140933,31472,20221,41172,50967,172405
7,1,6,0,111761,31476,14298,31012,38369,143237
7,1,6,1,117713,31485,20223,31055,38368,149198
7,1,7,0,100114,31467,14319,39113,24383,131581
7,1,7,1,106228,31477,20225,39167,24327,137705
7,1,8,0,161361,31473,14313,42795,54153,192834
7,1,8,1,138732,31512,20241,42757,54146,170244
7,1,9,0,133903,31466,14313,41094,51230,165369
7,1,9,1,139723,31466,20241,41096,50941,171189
7,1,10,0,112405,31479,14331,31733,38391,143884
7,1,10,1,117540,31458,20256,31017,38339,148998
7,1,11,0,101632,31429,14343,39108,24626,133061
7,1,11,1,107410,31446,20235,39198,24311,138856
7,1,12,0,171084,31495,14328,46589,57685,202579
7,1,12,1,146820,31505,20245,45991,56994,178325
