car,track,frame,mode,draw,present,track_us,prepare,raster,blit,player,opponents,upscale,hud,crc,total
0,1,17,0,134951,31468,16312,23396,51578,14476,37894,51702,20183,3330,1810142303,166419
0,1,17,1,127252,31466,16309,23485,42456,14485,34415,47245,20240,3371,1810142303,158718
0,1,18,0,141121,31739,17069,23433,53638,17660,39846,55015,20193,3352,2573386823,172860
0,1,18,1,160692,31602,24132,23467,44453,17707,35976,49779,20195,7574,2573386823,192294
0,1,19,0,106593,31441,19816,17139,28024,5902,32955,24571,20230,3499,84341912,138034
0,1,19,1,102963,31434,19840,17192,24196,5935,30110,23594,20211,3566,84341912,134397
0,1,20,0,119617,31465,19384,23440,40266,7224,30326,40738,20184,3345,1617570956,151082
0,1,20,1,113368,31472,19374,23409,34254,7154,27686,37266,20188,3328,1617570956,144840
0,1,21,0,123236,31465,13521,24023,45787,10428,34717,45663,20466,3315,1793532867,154701
0,1,21,1,115181,31488,13576,23488,38472,10361,31452,41001,20219,3313,1793532867,146669
0,1,22,0,131567,31396,14364,23508,51301,11817,36396,51482,20182,3491,432370343,162963
0,1,22,1,121641,31481,14360,23501,42758,11788,32921,45256,20211,3367,432370343,153122
0,1,23,0,105925,31447,13813,17151,31540,7439,37907,24726,20431,3493,2035647717,137372
0,1,23,1,100994,31436,13855,17153,26758,7427,34164,23593,20192,3551,2035647717,132430
0,1,24,0,173924,31457,20817,23521,60867,17665,44880,57311,20219,7583,1911769815,205381
0,1,24,1,133936,31474,13764,23522,49699,17613,39857,51109,20200,3412,1911769815,165410
0,2,1,0,125450,31440,12326,23095,51094,10122,35429,49002,20207,3187,3204803875,156890
0,2,1,1,116916,31435,12306,23112,42269,10087,31642,43948,20446,3225,3204803875,148351
0,2,2,0,128063,31453,12233,23464,51987,11469,38336,48709,20208,3181,3170726287,159516
0,2,2,1,119953,31417,12205,23516,42774,11460,34791,44207,20233,3226,3170726287,151370
0,2,3,0,108277,31661,10765,17162,38201,6808,43116,25535,20177,3405,3887432598,139938
0,2,3,1,102358,31459,10795,17089,32176,6775,38339,24231,20199,3378,3887432598,133817
0,2,4,0,149017,31432,23598,23458,59190,13751,39446,57081,20221,3246,1080205683,180449
0,2,4,1,167079,31458,30769,23442,48475,13739,35417,50373,20223,7580,1080205683,198537
0,2,5,0,138372,31418,17240,23380,51181,17750,42434,50000,20197,3182,308317125,169790
0,2,5,1,129575,31458,17304,23454,42178,17741,38921,44585,20176,3218,308317125,161033
0,2,6,0,128575,31445,12238,23467,52159,11548,37728,49572,20416,3214,576006811,160020
0,2,6,1,119789,31435,12215,23456,43371,11887,34233,44614,20192,3226,576006811,151224
0,2,7,0,106447,31394,16494,17155,30936,5203,36028,24986,20198,3446,2761219237,137841
0,2,7,1,100984,31425,16523,17158,26620,5159,31629,23809,20226,3391,2761219237,132409
0,2,8,0,131606,31449,11566,23469,56262,11442,44869,46431,20190,3168,2138228172,163055
0,2,8,1,121547,31682,11507,23557,46259,11417,40023,41336,20176,3219,2138228172,153229
0,2,9,0,121461,31439,9951,23464,50821,8284,34739,47956,20184,3220,1632165132,152900
0,2,9,1,113120,31834,9954,23400,42529,8275,31435,42897,20184,3235,1632165132,144954
0,2,10,0,152827,31452,18164,23510,48290,12194,35137,48990,20179,7592,3297242526,184279
0,2,10,1,116158,31443,11118,23562,40459,12157,31941,44363,20191,3195,3297242526,147601
0,2,11,0,132658,31454,42649,16978,30082,7619,35455,25681,20202,3340,3354579437,164112
0,2,11,1,128632,31657,42656,17014,25902,7619,32342,24621,20208,3377,3354579437,160289
0,2,12,0,134458,31437,24791,23340,47063,10363,33055,47842,20204,3185,405764629,165895
0,2,12,1,126869,31452,24759,23394,39574,10366,30113,43343,20183,3193,405764629,158321
0,2,13,0,128985,31462,22002,23435,44935,9796,32489,45801,20217,3201,2839723539,160447
0,2,13,1,123643,31446,22023,23515,38230,9821,29949,42831,20264,3190,2839723539,155089
0,2,14,0,125894,31455,18326,23423,46032,9226,33414,45395,20202,3193,1194474800,157349
0,2,14,1,118555,31440,18277,23464,38658,9258,30450,41058,20205,3179,1194474800,149995
0,2,15,0,127244,31457,18277,17068,29926,5179,34238,24362,20181,7598,3198141426,158701
0,2,15,1,94602,31437,11221,17171,25606,5227,31171,23215,20191,3404,3198141426,126039
0,2,16,0,119019,31460,10669,23512,46534,9405,33413,46166,20183,3209,3706496471,150479
0,2,16,1,111894,31451,10626,23550,39509,9446,30515,42118,20176,3178,3706496471,143345
0,2,17,0,110894,31416,11492,23496,40158,6953,30158,40577,20179,3188,1072123489,142310
0,2,17,1,105659,31440,11522,24034,34274,6984,28286,37133,20159,3165,1072123489,137099
0,2,18,0,111597,31465,11627,23438,39315,8364,30496,40751,20174,3167,284169534,143062
0,2,18,1,106934,31438,11584,23513,33550,8382,28212,38475,20216,3171,284169534,138372
0,2,19,0,144309,31977,12521,23526,71008,8548,30262,72949,20173,3131,19166580,176286
0,2,19,1,132144,31457,12575,23492,58674,8558,27902,62947,20197,3135,19166580,163601
0,2,20,0,125176,31458,19406,23486,44381,9012,33170,43836,20206,3157,1091600227,156634
0,2,20,1,117901,31464,19365,23452,37317,9004,30273,39637,20194,3171,1091600227,149365
0,2,21,0,122136,31440,13505,23420,48650,7444,33427,46213,20192,3446,931401181,153576
0,2,21,1,142826,31477,20515,23506,40768,7439,30296,41549,20179,7580,931401181,174303
0,2,22,0,146278,31848,33273,23386,48479,12156,34903,49251,20219,3226,2721568436,178126
0,2,22,1,137963,31437,33273,23434,40620,11714,31716,44189,20220,3201,2721568436,169400
0,2,23,0,111838,31450,21133,17032,31020,6054,37098,24695,20216,3342,257712578,143288
0,2,23,1,106278,31429,21164,17111,26541,6054,32579,23561,20224,3356,257712578,137707
0,2,24,0,130535,31655,13071,23486,48132,16772,37594,50929,20200,3284,3903545531,162190
0,2,24,1,122680,31453,13051,23572,40307,16827,34503,46331,20179,3242,3903545531,154133
1,0,1,0,128969,31482,13894,24721,52393,8918,33691,52474,20225,3256,2061583734,160451
1,0,1,1,148640,31468,20945,24682,43681,8792,30452,46831,20185,7573,2061583734,180108
1,0,2,0,132871,31479,12485,24666,55221,11327,36218,55131,20196,3294,3544617217,164350
1,0,2,1,122520,31444,12473,24679,44986,11356,32757,48410,20177,3280,3544617217,153964
1,0,3,0,100902,31400,11188,16423,28720,7235,34568,26157,20181,3385,4188290759,132302
1,0,3,1,96745,31430,11217,16446,24462,7180,31431,25005,20186,3418,4188290759,128175
1,0,4,0,131250,31724,15555,25171,50696,9499,34030,52580,20224,3310,1372475461,162974
1,0,4,1,121416,31466,15555,25139,42110,9552,30615,46325,20195,3286,1372475461,152882
1,0,5,0,131737,31485,14283,25080,52874,10422,35579,52936,20178,3312,3643129992,163222
1,0,5,1,122522,31444,14316,25112,43458,10432,32165,46969,20174,3336,3643129992,153966
1,0,6,0,125700,31481,14095,25099,49658,7695,32298,50287,20189,3306,2157633466,157181
1,0,6,1,145791,31441,21128,25020,41337,7671,29462,44697,20188,7584,2157633466,177232
1,0,7,0,101613,31411,13096,17248,28649,5022,33278,26159,20178,3448,3475122805,133024
1,0,7,1,97053,31423,13163,16661,24562,4981,30102,24603,20199,3467,3475122805,128476
1,0,8,0,135553,31461,12485,25109,53438,15391,39339,54734,20176,3300,980698291,167014
1,0,8,1,125808,31486,12470,25072,43835,15369,35847,48562,20198,3309,980698291,157294
1,0,9,0,141842,31464,27182,25147,52116,8351,33272,52480,20200,3278,2120688344,173306
1,0,9,1,133544,31474,26956,25033,42851,8361,30114,47397,20204,3354,2120688344,165018
1,0,10,0,141131,31466,25632,25098,52126,8949,33751,52554,20196,3330,873709730,172597
1,0,10,1,131440,31478,25049,25089,43283,8974,30557,46922,20199,3279,873709730,162918
1,0,11,0,111980,31452,21790,16685,30050,5953,35758,25443,20176,3400,1145149351,143432
1,0,11,1,107790,31435,21813,16710,25715,5887,32391,24439,20193,3422,1145149351,139225
1,0,12,0,164070,31422,24356,25105,53438,10305,35115,53865,20190,7583,4284885536,195492
1,0,12,1,126585,31475,17308,25122,44661,10345,32056,48214,20207,3281,4284885536,158060
1,0,13,0,132017,31480,14193,25201,53339,10189,34634,54240,20200,3308,2561242031,163497
1,0,13,1,123249,31477,14225,25168,44500,10188,31528,48460,20217,3302,2561242031,154726
1,0,14,0,132698,31451,12684,25111,54005,10594,35675,55265,20171,3371,1041451617,164149
1,0,14,1,122179,31447,12899,25084,44540,10610,32483,47889,20192,3285,1041451617,153626
1,0,15,0,106639,31440,11697,16737,33596,7063,40079,25800,20188,3452,1761276130,138079
1,0,15,1,102126,31451,11719,16803,28336,7027,36060,24651,20691,3455,1761276130,133577
1,0,16,0,141531,31453,14346,25213,58538,14261,38723,59420,20179,3311,2855537100,172984
1,0,16,1,130869,31458,14355,25129,48056,14276,34967,52628,20177,3306,2855537100,162327
1,0,17,0,165885,31461,21892,25161,56476,11564,37879,55459,20194,7554,763129684,197346
1,0,17,1,127015,31475,14828,25166,46090,11494,33924,48962,20445,3301,763129684,158490
1,0,18,0,139544,31454,13466,25087,59385,12426,38490,58545,20173,3342,1755425831,170998
1,0,18,1,128659,31488,13400,25164,48578,12446,34630,51691,20195,3304,1755425831,160147
1,0,19,0,107880,31419,13293,16815,31372,7381,37931,27294,20464,3408,26811952,139299
1,0,19,1,101709,31453,13320,16735,26641,7305,34162,25032,20203,3443,26811952,133162
1,0,20,0,134228,31443,11158,25123,56077,12672,38451,55563,20179,3320,622481537,165671
1,0,20,1,123399,31449,11136,25138,45800,12232,34368,48933,20177,3333,622481537,154848
1,0,21,0,150851,31447,23525,25032,58364,14833,40191,58169,20172,3343,2118962787,182298
1,0,21,1,140461,31483,23531,25086,47799,14845,36161,51700,20203,3291,2118962787,171944
1,0,22,0,154801,31444,24142,25134,54937,21300,40067,61434,20211,3341,895291273,186245
1,0,22,1,174649,31452,31036,25114,46242,21307,36849,55953,20218,7576,895291273,206101
1,0,23,0,111210,31490,20921,16679,29521,6497,35571,25628,20198,3433,1071520553,142700
1,0,23,1,107172,31433,20953,16618,25378,6527,32373,24590,20206,3496,1071520553,138605
1,0,24,0,138753,31473,16640,25079,53804,14021,37064,55976,20202,3335,1156298320,170226
1,0,24,1,130857,31494,16642,25149,44475,14059,34031,50875,20224,3335,1156298320,162351
1,1,1,0,150653,31691,15565,24810,61427,19747,39089,67031,20190,3333,1444525588,182344
1,1,1,1,139495,31457,15551,24820,50310,19689,35174,59780,20196,3337,1444525588,170952
1,1,2,0,142807,31925,18638,24951,54616,15304,39612,55389,20196,3364,2567757501,174732
1,1,2,1,161834,31484,25698,24930,44799,15377,36244,48992,20185,7571,2567757501,193318
1,1,3,0,108147,31453,19061,16757,29032,5589,34279,25679,20202,3474,996628663,139600
1,1,3,1,103999,31470,19098,16780,24768,5587,31075,24626,20195,3453,996628663,135469
1,1,4,0,121602,31730,18820,25238,42113,6133,29451,44165,20210,3332,1936400239,153332
1,1,4,1,116698,31472,18804,25244,35998,6231,27193,41513,20247,3363,1936400239,148170
1,1,5,0,126373,31475,13977,25229,48414,9572,32959,50390,20202,3322,2451456550,157848
1,1,5,1,118326,31460,14012,25205,40195,9588,30169,44951,20177,3380,2451456550,149786
1,1,6,0,137509,31477,12688,25237,58479,11781,38428,57204,20191,3346,887917285,168986
1,1,6,1,126788,31479,12691,25234,47895,11748,34460,50554,20172,3367,887917285,158267
1,1,7,0,107832,31460,12716,16819,32835,7193,39286,26151,20642,3479,1139949161,139292
1,1,7,1,102287,31435,12767,16807,27707,7158,35272,24897,20202,3543,1139949161,133722
1,1,8,0,166119,31490,20405,25266,57436,11998,39025,55808,20192,7573,1295025074,197609
1,1,8,1,126548,31482,13351,25207,46780,11993,35150,48962,20172,3334,1295025074,158030
1,1,9,0,152141,31472,14900,25309,64321,17167,46779,61316,20185,3390,3780402565,183613
1,1,9,1,138966,31471,14926,25205,52373,17121,41155,53680,20189,3381,3780402565,170437
1,1,10,0,145716,31487,19373,25215,56612,15159,38700,58420,20195,3373,1398233194,177203
1,1,10,1,135632,31465,19357,25165,46664,15176,35212,51924,20179,3403,1398233194,167097
1,1,11,0,108814,31455,19703,25105,28125,6696,33187,26872,20200,3300,1033913548,140269
1,1,11,1,105302,31429,19729,25184,24381,6655,30300,26046,20223,3342,1033913548,136731
1,1,12,0,123438,31458,18663,25197,42995,7245,30087,45493,20180,3354,1257169536,154896
1,1,12,1,117169,31470,18634,25219,36338,7250,27767,41179,20701,3323,1257169536,148639
1,1,13,0,128072,31458,14143,25230,49124,10298,33581,51201,20190,3375,2716982440,159530
